fecha_resultado,Peru
2020-03-06,1
2020-03-07,5
2020-03-08,2
2020-03-09,3
2020-03-10,1
2020-03-11,7
2020-03-12,8
2020-03-13,6
2020-03-14,18
2020-03-15,25
2020-03-16,18
2020-03-17,27
2020-03-18,47
2020-03-19,59
2020-03-20,54
2020-03-21,29
2020-03-22,33
2020-03-23,19
2020-03-24,45
2020-03-25,89
2020-03-26,47
2020-03-27,31
2020-03-28,126
2020-03-29,133
2020-03-30,120
2020-03-31,239
2020-04-01,117
2020-04-02,215
2020-04-03,278
2020-04-04,816
2020-04-05,426
2020-04-06,632
2020-04-07,1011
2020-04-08,1060
2020-04-09,797
2020-04-10,1030
2020-04-11,1334
2020-04-12,714
2020-04-13,1232
2020-04-14,1038
2020-04-15,1369
2020-04-16,1324
2020-04-17,1108
2020-04-18,1408
2020-04-19,1080
2020-04-20,2005
2020-04-21,2132
2020-04-22,2095
2020-04-23,2045
2020-04-24,2224
2020-04-25,2384
2020-04-26,1408
2020-04-27,3344
2020-04-28,3337
2020-04-29,4190
2020-04-30,3316
2020-05-01,2601
2020-05-02,3282
2020-05-03,1894
2020-05-04,3930
2020-05-05,3897
2020-05-06,3607
2020-05-07,3558
2020-05-08,3247
2020-05-09,2415
2020-05-10,913
2020-05-11,3551
2020-05-12,4280
2020-05-13,4363
2020-05-14,3657
2020-05-15,4236
2020-05-16,4066
2020-05-17,1737
2020-05-18,4849
2020-05-19,5096
2020-05-20,5191
2020-05-21,5438
2020-05-22,5999
2020-05-23,5308
2020-05-24,1744
2020-05-25,6842
2020-05-26,6880
2020-05-27,7261
2020-05-28,6342
2020-05-29,5643
2020-05-30,4611
2020-05-31,2253
2020-06-01,4267
2020-06-02,3817
2020-06-03,2635
2020-06-04,4030
2020-06-05,5002
2020-06-06,4759
2020-06-07,2619
2020-06-08,4773
2020-06-09,5345
2020-06-10,5753
2020-06-11,7293
2020-06-12,5600
2020-06-13,4461
2020-06-14,2414
2020-06-15,4397
2020-06-16,3442
2020-06-17,3990
2020-06-18,3505
2020-06-19,3606
2020-06-20,3579
2020-06-21,1456
2020-06-22,4421
2020-06-23,3840
2020-06-24,4179
2020-06-25,4242
2020-06-26,4476
2020-06-27,3619
2020-06-28,1611
2020-06-29,2769
2020-06-30,3957
2020-07-01,3802
2020-07-02,3563
2020-07-03,4076
2020-07-04,3626
2020-07-05,2335
2020-07-06,3917
2020-07-07,4254
2020-07-08,2776
2020-07-09,2677
2020-07-10,5103
2020-07-11,4396
2020-07-12,2423
2020-07-13,3286
2020-07-14,4394
2020-07-15,4608
2020-07-16,4691
2020-07-17,5360
2020-07-18,5294
2020-07-19,2397
2020-07-20,4237
2020-07-21,5257
2020-07-22,6269
2020-07-23,5794
2020-07-24,6171
2020-07-25,5805
2020-07-26,3007
2020-07-27,7313
2020-07-28,3117
2020-07-29,6823
2020-07-30,7549
2020-07-31,7997
2020-08-01,7056
2020-08-02,3326
2020-08-03,8170
2020-08-04,8086
2020-08-05,7855
2020-08-06,9023
2020-08-07,7891
2020-08-08,7098
2020-08-09,3697
2020-08-10,8525
2020-08-11,9306
2020-08-12,9648
2020-08-13,9534
2020-08-14,10358
2020-08-15,9361
2020-08-16,3806
2020-08-17,9614
2020-08-18,9258
2020-08-19,9694
2020-08-20,10397
2020-08-21,8882
2020-08-22,7624
2020-08-23,1991
2020-08-24,8557
2020-08-25,11121
2020-08-26,8380
2020-08-27,7979
2020-08-28,9088
2020-08-29,6445
2020-08-30,2325
2020-08-31,6406
2020-09-01,6334
2020-09-02,6438
2020-09-03,3739
2020-09-04,9999
2020-09-05,3983
2020-09-06,1842
2020-09-07,6276
2020-09-08,6787
2020-09-09,6477
2020-09-10,3928
2020-09-11,10661
2020-09-12,5721
2020-09-13,1996
2020-09-14,6036
2020-09-15,5510
